from,to
языка,носка
сосочки,сосиски
слизистой,пряной
язык,носок
мышца,мать
оболочка,клетка
и,авось
поверхности,кафеля
клеток,плотков
ежи,страусы
ежей,страусов
в,снаружи
обычно,никогда
животные,люди
находится,бывает
иглы,прутья
себя,их
довольно,недовольно
еж,страус
высокотоксичный,высокоградусный
субкультуры ,сцены
готической,эмо
или,дабы
для,вестимо
готов,эмо
представителей,коллеги
готы,эмо
можно,нельзя
между,вне
себя,их
элементы,контрагенты
время,бремя
популярность,мизерность
поклонники,эщкере
